,city,latitude,longitude,Max_Temp,humidity,cloudness,wind speed,country,Date
112,broome,42.2506,-75.833,67.01,85,0,1.99,US,1659350695
113,kalmunai,7.4167,81.8167,83.23,73,99,5.01,LK,1659350695
114,nouadhibou,20.931,-17.0347,78.78,73,2,11.5,MR,1659350695
115,mar del plata,-38.0023,-57.5575,49.87,93,100,2.3,AR,1659350568
116,caohai,26.8661,104.2841,66.2,84,93,5.66,CN,1659350695
117,morristown,36.214,-83.2949,73.45,81,100,9.22,US,1659350695
118,wenatchee,47.4235,-120.3103,86.38,34,0,9.22,US,1659350695
119,cherskiy,68.75,161.3,63.36,48,87,12.19,RU,1659350695
120,chokurdakh,70.6333,147.9167,64.58,93,100,10.8,RU,1659350695
121,porbandar,21.6422,69.6093,85.98,74,75,16.11,IN,1659350695
122,jardim,-21.4803,-56.1381,66.04,59,0,3.04,BR,1659350695
123,lebanon,36.2081,-86.2911,75.25,91,100,5.75,US,1659350695
124,soma,39.1855,27.6094,92.35,26,0,17.18,TR,1659350696
125,yamethin,20.4333,96.15,87.89,62,100,7.34,MM,1659350696
126,kyra,49.5776,111.9753,74.57,61,66,2.77,RU,1659350696
127,juneau,58.3019,-134.4197,58.84,98,100,4.61,US,1659350620
128,savannah bight,16.45,-85.85,81.18,79,60,17.09,HN,1659350696
129,chuy,-33.6971,-53.4616,51.33,91,47,2.91,UY,1659350696
130,cwmbran,51.6545,-3.0228,73.6,60,75,6.76,GB,1659350621
131,aubergenville,48.96,1.8547,77.56,56,95,6.2,FR,1659350696
132,sri aman,1.2376,111.4621,86.09,79,20,2.3,MY,1659350696
133,atar,20.5169,-13.0499,91.04,44,14,10.04,MR,1659350696
134,xuddur,4.1213,43.8894,90.41,31,13,23.69,SO,1659350696
135,dashitou,43.3067,128.5114,72.79,87,93,2.3,CN,1659350696
136,tshikapa,-6.4167,20.8,98.17,21,8,3.13,CD,1659350697
137,nome,64.5011,-165.4064,55.47,77,100,4.61,US,1659350697
138,brae,60.3964,-1.353,56.46,70,89,13.56,GB,1659350697
139,greenfield,42.9614,-88.0126,73.06,87,100,10.36,US,1659350697
140,hobart,-42.8794,147.3294,47.26,79,40,12.66,AU,1659350560
141,saskylakh,71.9167,114.0833,45.72,75,100,9.93,RU,1659350697
142,saint-francois,46.4154,3.9054,85.68,35,0,6.91,FR,1659350697
143,waipawa,-41.4122,175.5153,42.46,86,4,8.41,NZ,1659350697
144,poronaysk,49.2167,143.1167,57.72,91,98,11.59,RU,1659350697
145,catuday,16.2923,119.8062,77.47,89,100,10.8,PH,1659350697
146,flin flon,54.7682,-101.865,46.83,95,2,5.1,CA,1659350697
147,bacungan,9.9106,118.7022,80.15,83,100,2.75,PH,1659350698
148,sidi ali,36.0998,0.4206,85.86,50,0,11.83,DZ,1659350698
149,asfi,32.2994,-9.2372,86.63,48,50,16.89,MA,1659350698
150,kapaa,22.0752,-159.319,79.12,78,20,18.41,US,1659350698
151,kawalu,-7.3817,108.2082,74.73,88,40,3.69,ID,1659350698
152,hualmay,-11.0964,-77.6139,60.03,87,50,7.74,PE,1659350698
153,taseyevo,57.2169,94.8978,73.69,69,92,8.1,RU,1659350698
154,hamilton,39.1834,-84.5333,71.89,95,100,6.91,US,1659350698
155,sandwick,60.0,-1.25,57.02,77,20,11.5,GB,1659350698
156,moron,-34.6534,-58.6198,55.15,98,0,3.06,AR,1659350531
157,belmonte,-15.8631,-38.8828,74.37,78,17,3.47,BR,1659350699
158,otradnoye,59.7775,30.8181,74.03,46,100,7.52,RU,1659350699
159,ambulu,-8.345,113.6058,76.84,87,97,4.07,ID,1659350699
160,san lorenzo,-25.3333,-57.5333,59.94,82,0,5.01,PY,1659350699
161,yuncheng,35.0231,110.9928,87.37,49,0,11.01,CN,1659350699
162,tura,25.5198,90.2201,78.13,93,100,0.38,IN,1659350699
163,vicksburg,32.3526,-90.8779,74.93,97,0,4.61,US,1659350699
164,akdepe,42.0551,59.3788,87.89,17,19,10.13,TM,1659350699
165,sharjah,25.3573,55.4033,107.58,33,61,16.11,AE,1659350699
166,wanning,18.8003,110.3967,84.31,72,9,6.22,CN,1659350699
167,naze,28.3667,129.4833,81.52,84,71,12.33,JP,1659350699
168,husavik,66.0449,-17.3389,41.99,96,100,9.55,IS,1659350699
169,synya,65.3718,58.0387,79.45,28,9,5.03,RU,1659350699
170,prince rupert,54.3161,-130.3201,57.29,94,100,14.97,CA,1659350700
171,hilo,19.7297,-155.09,74.28,78,75,8.05,US,1659350490
172,georgetown,5.4112,100.3354,87.89,77,40,7.0,MY,1659350626
173,tuatapere,-46.1333,167.6833,48.36,80,94,8.48,NZ,1659350700
174,opuwo,-18.0607,13.84,68.7,17,17,14.47,NA,1659350700
175,evensk,61.95,159.2333,49.23,95,14,5.59,RU,1659350700
176,sorland,67.667,12.6934,51.66,84,100,19.64,NO,1659350700
177,japura,-0.3167,102.35,79.57,91,99,3.0,ID,1659350700
178,belyy yar,53.6039,91.3903,85.89,30,0,8.95,RU,1659350700
179,falkenberg,56.9055,12.4912,65.25,81,78,13.38,SE,1659350701
180,esperance,-33.8667,121.9,57.04,83,100,27.38,AU,1659350701
181,fowa,8.9167,6.4,77.74,83,100,3.96,NG,1659350701
182,tiksi,71.6872,128.8694,41.92,82,95,7.76,RU,1659350701
183,nanortalik,60.1432,-45.2371,46.99,86,100,3.15,GL,1659350701
184,mackenzie,55.2999,-123.1698,59.22,94,75,3.44,CA,1659350701
185,fukue,32.6881,128.8419,80.96,89,75,9.22,JP,1659350701
186,gazanjyk,39.2446,55.5154,97.54,25,0,5.55,TM,1659350701
187,paragominas,-2.9667,-47.4833,72.97,97,94,2.15,BR,1659350701
188,walvis bay,-22.9575,14.5053,60.1,61,93,12.37,NA,1659350702
189,quesnel,52.9999,-122.5029,61.3,88,75,2.3,CA,1659350702
190,bambous virieux,-20.3428,57.7575,73.65,73,75,17.27,MU,1659350702
191,rassvet,46.8333,40.75,97.38,32,10,4.03,RU,1659350702
192,katsuura,35.1333,140.3,81.34,87,82,15.57,JP,1659350702
193,ceres,37.5949,-120.9577,73.72,62,0,6.91,US,1659350703
194,andenes,69.3143,16.1194,57.18,88,20,10.36,NO,1659350703
195,deputatskiy,69.3,139.9,59.38,87,100,6.78,RU,1659350456
196,roald,62.5833,6.1333,59.16,63,75,6.91,NO,1659350705
197,severo-kurilsk,50.6789,156.125,52.32,87,15,5.14,RU,1659350705
198,sioux lookout,50.1001,-91.917,53.67,100,100,10.36,CA,1659350705
199,alappuzha,9.49,76.3264,79.0,85,100,7.29,IN,1659350705
200,lusambo,-4.9667,23.45,99.7,26,33,1.54,CD,1659350705
201,izmit,40.7669,29.9169,89.38,48,75,11.5,TR,1659350705
202,mount isa,-20.7333,139.5,65.97,34,0,5.75,AU,1659350705
203,bengkulu,-3.8004,102.2655,79.68,84,99,2.39,ID,1659350706
204,kasama,-10.2129,31.1808,81.73,22,0,6.93,ZM,1659350706
205,rawson,-43.3002,-65.1023,44.91,88,100,8.97,AR,1659350588
206,plettenberg bay,-34.0527,23.3716,59.25,50,0,7.63,ZA,1659350706
207,sistranda,63.7256,8.834,55.36,70,94,16.37,NO,1659350706
208,san cristobal,7.7669,-72.225,64.58,92,98,2.68,VE,1659350706
209,rorvik,64.8621,11.2373,51.78,93,75,4.61,NO,1659350706
210,baruun-urt,46.6806,113.2792,79.68,45,100,3.85,MN,1659350706
211,port elizabeth,-33.918,25.5701,62.89,51,0,5.01,ZA,1659350420
212,dobre miasto,53.9867,20.3975,73.63,40,50,8.23,PL,1659350707
213,edd,13.9297,41.6925,95.7,50,53,11.86,ER,1659350707
214,mercedes,-34.6515,-59.4307,41.79,89,0,4.23,AR,1659350707
215,elko,41.0002,-115.5012,69.82,48,85,5.99,US,1659350707
216,bathsheba,13.2167,-59.5167,83.01,89,40,21.85,BB,1659350707
217,dunedin,-45.8742,170.5036,49.8,67,100,1.01,NZ,1659350707
218,ayan,56.45,138.1667,56.44,94,100,14.61,RU,1659350707
219,raton,36.9034,-104.4391,57.54,93,0,4.61,US,1659350707
220,vanimo,-2.6741,141.3028,80.01,85,100,6.82,PG,1659350707
221,ploemeur,47.7333,-3.4333,68.83,77,100,8.05,FR,1659350496
222,namatanai,-3.6667,152.4333,80.26,81,78,11.36,PG,1659350708
223,bonthe,7.5264,-12.505,81.34,70,98,9.08,SL,1659350708
224,san policarpo,12.1791,125.5072,83.25,76,84,10.16,PH,1659350708
225,tutoia,-2.7619,-42.2744,77.9,86,37,11.88,BR,1659350708
226,nemuro,43.3236,145.575,57.67,86,100,10.27,JP,1659350708
227,port-gentil,-0.7193,8.7815,80.56,69,40,18.41,GA,1659350708
228,ovsyanka,55.9575,92.5519,74.37,81,92,6.82,RU,1659350708
229,haljala,59.4336,26.2614,59.25,81,100,11.9,EE,1659350709
230,boa vista,2.8197,-60.6733,76.98,83,75,4.61,BR,1659350709
231,guerrero negro,27.9769,-114.0611,71.1,77,70,6.76,MX,1659350709
232,souillac,-20.5167,57.5167,73.78,73,75,17.27,MU,1659350709
233,madang,-5.2246,145.7966,79.59,84,100,5.41,PG,1659350709
234,yunhe,34.0833,119.7167,81.82,81,32,4.36,CN,1659350709
235,san martin,-33.081,-68.4681,43.34,44,25,4.5,AR,1659350709
236,batagay-alyta,67.8006,130.4114,57.7,80,100,6.98,RU,1659350710
237,longkou,37.6508,120.3286,78.69,88,3,9.19,CN,1659350710
238,nhulunbuy,-12.2333,136.7667,77.61,83,75,9.22,AU,1659350710
239,rock sound,24.9,-76.2,82.76,73,22,16.55,BS,1659350710
240,kaitangata,-46.2817,169.8464,41.94,82,100,4.85,NZ,1659350710
241,sao gotardo,-19.3111,-46.0489,63.27,64,46,3.98,BR,1659350710
242,kununurra,-15.7667,128.7333,73.38,46,54,5.75,AU,1659350710
243,dikson,73.5069,80.5464,43.0,93,100,10.02,RU,1659350568
244,pozo colorado,-23.4923,-58.7972,67.75,54,99,3.58,PY,1659350710
245,castro,-24.7911,-50.0119,54.79,76,0,2.66,BR,1659350710
246,campoverde,-8.4753,-74.8058,74.41,81,93,0.96,PE,1659350711
247,mastic beach,40.7668,-72.8521,70.09,94,100,8.01,US,1659350711
248,ban dung,17.699,103.2596,87.12,99,64,6.22,TH,1659350711
249,chiredzi,-21.05,31.6667,77.36,36,7,12.26,ZW,1659350711
250,miracema do tocantins,-9.5618,-48.3967,78.37,37,5,2.53,BR,1659350711
251,keti bandar,24.1447,67.4497,84.6,78,100,21.79,PK,1659350711
